module,type,name,res_id,src,value
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    Start date:","<br/>
                                    Start date:"
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    duration:","<br/>
                                    duration:"
openacademy,code,addons/openacademy/models.py,151,A session's instructor can't be an attendee,Ang guro ng sesyon ay hindi pwede sa listahan ng dadalo
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_about,About,Tungkol
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,About,Tungkol
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_active,Active,Aktibo
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Add Attendees,Magdagdag ng dadalo
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Add Attendees,Magdagdag ng dadalo
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner_session_ids,Attended Sessions,Dinaluhan na sesyon
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_attendee_ids,Attendees,Mga dadalo
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_attendee_ids,Attendees,Mga dadalo
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_attendees_count,Attendees count,Bilang ng dadalo
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Cancel,Kansel
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_color,Color,Kulay
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,Setting
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Confirm,Pagtiyakin
openacademy,selection,"openacademy.session,state",0,Confirmed,Tiyak
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contact Tags,Pananda
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,Pananda
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contacts,Tao
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,Tao
openacademy,code,addons/openacademy/models.py,25,Copy of {},Kopya ng {}
openacademy,code,addons/openacademy/models.py,27,Copy of {} ({}),Kopya ng {} ({})
openacademy,code,addons/openacademy/models.py,23,Copy of {}%,Kopya ng {}%
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_course_id,Course,Kurso
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Course Form,Anyo ng Kurso
openacademy,model,"ir.ui.view,arch_db",openacademy.course_tree_view,Course Tree,Puno ng Kurso
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Courses,Mga Kurso
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Courses,Mga Curso
openacademy,model,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,Gumawa ng unang kurso
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_create_uid,Created by,Ginawa ni
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_create_uid,Created by,Ginawa ni
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_create_uid,Created by,Ginawa ni
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_create_date,Created on,Ginawa ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_create_date,Created on,Ginawa ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_create_date,Created on,Ginawa ng
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Delete,Alisin
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_description,Description,Deskripsyon
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Description,Deskripsyon
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_display_name,Display Name,Pinapakitang pangalan
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_display_name,Display Name,Pinapakitang pangalan
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_display_name,Display Name,Pinapakitang pangalan
openacademy,selection,"openacademy.session,state",0,Done,Tapos
openacademy,selection,"openacademy.session,state",0,Draft,Plano
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_duration,Duration,Gano katagal
openacademy,model,"ir.model.fields,help",openacademy.field_openacademy_session_duration,Duration in days,Ilang araw ang tagal
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_hours,Duration in hours,Ilang horas ang tagal
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_end_date,End Date,Matatapos ng
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,General,Kalahatan
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,Group By,I-grupo ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_id,ID,ID
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_id,ID,ID
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_id,ID,ID
openacademy,code,addons/openacademy/models.py,97,Incorrect 'seats' value,Maling bilang ng upuan
openacademy,code,addons/openacademy/models.py,105,Increase seats or remove excess attendees,Magdagdag ng upuan o magtangal ng dadalo
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_instructor_id,Instructor,Magtuturo
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner_instructor,Instructor,Magtuturo
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course___last_update,Last Modified on,Huling binago ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session___last_update,Last Modified on,Huling binago ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard___last_update,Last Modified on,Huling binago ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_write_uid,Last Updated by,Huling binago ni
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_write_uid,Last Updated by,Huling binago ni
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_write_uid,Last Updated by,Huling binago ni
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_write_date,Last Updated on,Huling ini-update ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_write_date,Last Updated on,Huling ini-update ng
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_write_date,Last Updated on,Huling ini-update ng
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Mark as done,Markahan ng tapos
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,My Courses,Aking kurso
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_name,Name,Pangalan
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_seats,Number of seats,Bilang ng upuan
